question,choices,question_formatted,answer,scene_id,label,locations
Is there a yellow pillow on the purple sofa that is positioned to the right of the lighted lamp in the living room?,"['Yes, it is on the right side', 'No, it is on the left side', 'Yes, it is on the backrest', 'No, there are no pillows at all.']","Is there a yellow pillow on the purple sofa that is positioned to the right of the lighted lamp in the living room? A) Yes, it is on the right side B) No, it is on the left side C) Yes, it is on the backrest D) No, there are no pillows at all.. Answer:",A,00000-kfPV7w3FaU5,relationship,"sofa (4): [2.088, 1.6, -2.114]"
Is there a small wooden table next to the purple sofa in the living room with patterned cushions on the chairs nearby?,"['Yes, there is a small wooden table beside the sofa', 'No, there is not a small wooden table', 'There is a large coffee table instead', 'The table is placed far from the sofa.']","Is there a small wooden table next to the purple sofa in the living room with patterned cushions on the chairs nearby? A) Yes, there is a small wooden table beside the sofa B) No, there is not a small wooden table C) There is a large coffee table instead D) The table is placed far from the sofa.. Answer:",A,00000-kfPV7w3FaU5,relationship,"sofa (5): [1.316, 1.798, -2.252]"
"Is there a stair with a striped carpet leading down towards the entrance door, next to the wall, near the round mirror in the hallway? ","['Yes, the stair goes down towards the entrance door', 'No, the stair leads upwards', 'Yes, but it is made of wood', 'No, the stair is outside the house.']","Is there a stair with a striped carpet leading down towards the entrance door, next to the wall, near the round mirror in the hallway?  A) Yes, the stair goes down towards the entrance door B) No, the stair leads upwards C) Yes, but it is made of wood D) No, the stair is outside the house.. Answer:",A,00000-kfPV7w3FaU5,relationship,"stair (6): [2.274, -0.473, -1.828]"
Is there a chair positioned next to the purple sofa near the yellow rug in the living room?,"['Yes, there is a chair', 'No, there is no chair', 'There is a chair but it is not near the sofa', 'The chair is behind the sofa.']","Is there a chair positioned next to the purple sofa near the yellow rug in the living room? A) Yes, there is a chair B) No, there is no chair C) There is a chair but it is not near the sofa D) The chair is behind the sofa.. Answer:","B. No, there is no chair.",00000-kfPV7w3FaU5,relationship,"chair (7): [3.172, 4.14, -2.379]"
"Is there a small, colorful table next to the wooden table in the living room?","['Yes, it is a red table', 'No, there is only a larger wooden table', 'Yes, it is a multicolored table', 'No, there is a chair instead.']","Is there a small, colorful table next to the wooden table in the living room? A) Yes, it is a red table B) No, there is only a larger wooden table C) Yes, it is a multicolored table D) No, there is a chair instead.. Answer:",C,00000-kfPV7w3FaU5,relationship,"table (12): [5.114, 4.158, -2.375]"
Is there a radiator positioned near the kitchen counter that is next to the stove in the room?,"['Yes, on the left side of the counter', 'Yes, on the right side of the stove', 'No, it is located in another room', 'Yes, behind the refrigerator']","Is there a radiator positioned near the kitchen counter that is next to the stove in the room? A) Yes, on the left side of the counter B) Yes, on the right side of the stove C) No, it is located in another room D) Yes, behind the refrigerator. Answer:","C. No, it is located in another room",00000-kfPV7w3FaU5,relationship,"radiator (14): [6.561, 1.542, -2.142]"
Is there a refrigerator near the kitchen window next to the wooden table?,"['Yes, there is a refrigerator', 'No, the refrigerator is further away', 'Yes, it is directly beside the table', 'No refrigerator is visible at all.']","Is there a refrigerator near the kitchen window next to the wooden table? A) Yes, there is a refrigerator B) No, the refrigerator is further away C) Yes, it is directly beside the table D) No refrigerator is visible at all.. Answer:","A. Yes, there is a refrigerator",00000-kfPV7w3FaU5,relationship,"appliance (16): [7.402, 1.075, -1.576]"
Is there a wardrobe placed against the wall opposite the bed in this bedroom?,"['Yes, there is a wardrobe next to the bed', 'No, the wardrobe is on the right side of the bed', 'Yes, the wardrobe is at the foot of the bed', 'No, there is a chair next to the bed.']","Is there a wardrobe placed against the wall opposite the bed in this bedroom? A) Yes, there is a wardrobe next to the bed B) No, the wardrobe is on the right side of the bed C) Yes, the wardrobe is at the foot of the bed D) No, there is a chair next to the bed.. Answer:",C,00000-kfPV7w3FaU5,relationship,"bed (24): [1.732, 2.181, 0.353]"
Are there any bedside lamps on the wooden nightstand next to the bed in the bedroom?,"['Yes, there is a lamp', 'No, there are no lamps', 'There is one lamp', 'There are two lamps.']","Are there any bedside lamps on the wooden nightstand next to the bed in the bedroom? A) Yes, there is a lamp B) No, there are no lamps C) There is one lamp D) There are two lamps.. Answer:",A,00000-kfPV7w3FaU5,relationship,"bed (25): [1.544, 3.79, 0.653]"
Is there a nightstand with a decorative lamp near the bed in the bedroom with patterned wallpaper?,"['Yes, it is on the left side of the bed', 'No, the nightstand is across the room', 'Yes, it is directly opposite the bed', 'No, there is no nightstand in the room.']","Is there a nightstand with a decorative lamp near the bed in the bedroom with patterned wallpaper? A) Yes, it is on the left side of the bed B) No, the nightstand is across the room C) Yes, it is directly opposite the bed D) No, there is no nightstand in the room.. Answer:",A,00000-kfPV7w3FaU5,relationship,"bed (26): [5.881, 3.732, 0.698]"
