question,choices,question_formatted,locations,scene_id,label,floor_id,answers
Is the color of the kettle darker than the color of the chair?,"['A. Yes, the kettle is darker', 'B. No, the chair is darker', 'C. Both have similar colors', 'D. The kettle is lighter than the chair.']","Is the color of the kettle darker than the color of the chair? A) Yes, the kettle is darker B) No, the chair is darker C) Both have similar colors D) The kettle is lighter than the chair.. Answer:","kettle (17): [7.402, 1.075, -1.576]; chair (9): [3.797, -0.048, -2.113]",00000-kfPV7w3FaU5,color,-1,[]
Which object has a more vibrant color: the sofa or the appliance?,"['A. The sofa has a more vibrant color', 'B. The appliance has a more vibrant color', 'C. Both have equally vibrant colors', 'D. The appliance is less vibrant than the sofa.']",Which object has a more vibrant color: the sofa or the appliance? A) The sofa has a more vibrant color B) The appliance has a more vibrant color C) Both have equally vibrant colors D) The appliance is less vibrant than the sofa.. Answer:,"sofa (5): [1.316, 1.798, -2.252]; appliance (16): [7.402, 1.075, -1.576]",00000-kfPV7w3FaU5,color,-1,A
Do the two chairs have similar color tones?,"['A. Yes, the two chairs have similar color tones', 'B. No, one chair is lighter', 'C. No, one chair is darker', 'D. No, they are different colors altogether.']","Do the two chairs have similar color tones? A) Yes, the two chairs have similar color tones B) No, one chair is lighter C) No, one chair is darker D) No, they are different colors altogether.. Answer:","chair (9): [3.797, -0.048, -2.113]; chair (7): [3.172, 4.14, -2.379]",00000-kfPV7w3FaU5,color,-1,[]
Is the color of the window lighter than the color of the floor?,"['A. Yes, the window is lighter', 'B. No, the floor is lighter', 'C. They are both the same color', 'D. The window is darker than the floor.']","Is the color of the window lighter than the color of the floor? A) Yes, the window is lighter B) No, the floor is lighter C) They are both the same color D) The window is darker than the floor.. Answer:","window (15): [7.767, -0.249, -1.065]; floor (11): [0.357, -0.024, -2.623]",00000-kfPV7w3FaU5,color,-1,[]
Is the color of the chair lighter than the color of the door?,"['A. Yes, the chair is lighter', 'B. No, the door is lighter', 'C. They are the same color', 'D. The chair is darker.']","Is the color of the chair lighter than the color of the door? A) Yes, the chair is lighter B) No, the door is lighter C) They are the same color D) The chair is darker.. Answer:","chair (28): [-0.435, 3.218, 0.564]; door (20): [5.789, 1.223, 1.055]",00000-kfPV7w3FaU5,color,1,[]
Does the table have a darker color than the radiator?,"['A. Yes, the table is darker', 'B. No, the radiator is darker', 'C. They have the same color tone', 'D. The table is brighter.']","Does the table have a darker color than the radiator? A) Yes, the table is darker B) No, the radiator is darker C) They have the same color tone D) The table is brighter.. Answer:","table (29): [6.94, 1.305, 0.42]; radiator (30): [5.479, 0.401, 0.655]",00000-kfPV7w3FaU5,color,1,[]
Which object has a more vibrant color: the bed or the door?,"['A. The bed is more vibrant', 'B. The door is more vibrant', 'C. They have the same vibrancy', 'D. The bed is less vibrant.']",Which object has a more vibrant color: the bed or the door? A) The bed is more vibrant B) The door is more vibrant C) They have the same vibrancy D) The bed is less vibrant.. Answer:,"bed (27): [5.93, 3.216, 0.422]; door (19): [3.633, 1.336, 1.036]",00000-kfPV7w3FaU5,color,1,[]
Is the color of the first door warmer than the color of the second door?,"['A. Yes, the first door is warmer', 'B. No, the second door is warmer', 'C. They are the same temperature', 'D. The first door is cooler.']","Is the color of the first door warmer than the color of the second door? A) Yes, the first door is warmer B) No, the second door is warmer C) They are the same temperature D) The first door is cooler.. Answer:","door (23): [5.889, -1.335, 1.016]; door (22): [3.626, -1.308, 1.032]",00000-kfPV7w3FaU5,color,1,[]
Is the color of the door with identifier 31 warmer than the color of the chair with identifier 44?,"['A. Yes, the door is warmer', 'B. No, the chair is warmer', 'C. Both have similar warmth', 'D. The comparison is inconclusive.']","Is the color of the door with identifier 31 warmer than the color of the chair with identifier 44? A) Yes, the door is warmer B) No, the chair is warmer C) Both have similar warmth D) The comparison is inconclusive.. Answer:","door (31): [-2.267, -1.23, 1.023]; chair (44): [-7.387, 1.688, 0.515]",00001-UVdNNRcVyV1,color,1,[]
Which object has a darker color: the table with identifier 41 or the chair with identifier 46?,"['A. The table is darker', 'B. The chair is darker', 'C. Both have similar darkness', 'D. The comparison is inconclusive.']",Which object has a darker color: the table with identifier 41 or the chair with identifier 46? A) The table is darker B) The chair is darker C) Both have similar darkness D) The comparison is inconclusive.. Answer:,"table (41): [-7.503, 2.644, 0.641]; chair (46): [-7.427, 1.652, 0.557]",00001-UVdNNRcVyV1,color,1,A
Do the colors of the bed with identifier 9 and the chair with identifier 47 have similar color tones?,"['A. Yes, their colors are very similar', 'B. No, the bed is significantly different', 'C. The chair is more vibrant', 'D. The comparison is inconclusive.']","Do the colors of the bed with identifier 9 and the chair with identifier 47 have similar color tones? A) Yes, their colors are very similar B) No, the bed is significantly different C) The chair is more vibrant D) The comparison is inconclusive.. Answer:","bed (9): [-9.897, -4.525, 0.513]; chair (47): [-9.173, 0.67, 0.501]",00001-UVdNNRcVyV1,color,1,B
Is the color of the door with identifier 18 lighter than the color of the bathtub with identifier 49?,"['A. Yes, the door is lighter', 'B. No, the bathtub is lighter', 'C. Both are equally light', 'D. The comparison is inconclusive.']","Is the color of the door with identifier 18 lighter than the color of the bathtub with identifier 49? A) Yes, the door is lighter B) No, the bathtub is lighter C) Both are equally light D) The comparison is inconclusive.. Answer:","door (18): [-16.904, -1.313, 1.144]; bathtub (49): [-4.214, 1.592, 0.395]",00001-UVdNNRcVyV1,color,1,[]
Which object has a darker color: the chair or the table?,"['A. The chair', 'B. The table', 'C. Both have similar colors', 'D. Impossible to determine']",Which object has a darker color: the chair or the table? A) The chair B) The table C) Both have similar colors D) Impossible to determine. Answer:,"chair (47): [-9.173, 0.67, 0.501]; table (41): [-7.503, 2.644, 0.641]",00001-UVdNNRcVyV1,color,1,D
Is the color of the curtain more vibrant than the color of the door?,"['A. Yes, the curtain is more vibrant', 'B. No, the door is more vibrant', 'C. Both are equally vibrant', 'D. Cannot determine vibrancy from color alone']","Is the color of the curtain more vibrant than the color of the door? A) Yes, the curtain is more vibrant B) No, the door is more vibrant C) Both are equally vibrant D) Cannot determine vibrancy from color alone. Answer:","curtain (34): [-13.813, 9.624, 1.257]; door (27): [-11.499, -1.711, 1.01]",00001-UVdNNRcVyV1,color,1,[]
Do these two doors have similar color tones?,"['A. Yes, their color tones are similar', 'B. No, one is significantly lighter', 'C. No, they are both dark shades', 'D. Cannot be determined']","Do these two doors have similar color tones? A) Yes, their color tones are similar B) No, one is significantly lighter C) No, they are both dark shades D) Cannot be determined. Answer:","door (32): [-3.07, -2.63, 1.145]; door (18): [-16.904, -1.313, 1.144]",00001-UVdNNRcVyV1,color,1,[]
Is the color of the radiator warmer than the color of the laundry machine?,"['A. Yes, the radiator is warmer', 'B. No, the laundry machine is warmer', 'C. Both have a cool tone', 'D. Cannot determine without additional color information']","Is the color of the radiator warmer than the color of the laundry machine? A) Yes, the radiator is warmer B) No, the laundry machine is warmer C) Both have a cool tone D) Cannot determine without additional color information. Answer:","radiator (35): [-15.773, 11.401, 0.443]; laundry machine (36): [-17.28, 1.122, 0.415]",00001-UVdNNRcVyV1,color,1,A
Does the chair have a lighter color than the curtain?,"['A. Yes, the chair is lighter', 'B. No, the curtain is lighter', 'C. Both have the same color', 'D. The chair is darker than the curtain']","Does the chair have a lighter color than the curtain? A) Yes, the chair is lighter B) No, the curtain is lighter C) Both have the same color D) The chair is darker than the curtain. Answer:","chair (45): [-7.421, 1.628, 0.91]; curtain (33): [-14.969, 11.336, 1.274]",00001-UVdNNRcVyV1,color,1,B
Is the color of the laundry machine warmer than the bathtub?,"['A. Yes, the laundry machine is warmer', 'B. No, the bathtub is warmer', 'C. Both are the same warmth', 'D. The bathtub is cooler than the laundry machine']","Is the color of the laundry machine warmer than the bathtub? A) Yes, the laundry machine is warmer B) No, the bathtub is warmer C) Both are the same warmth D) The bathtub is cooler than the laundry machine. Answer:","laundry machine (36): [-17.28, 1.122, 0.415]; bathtub (49): [-4.214, 1.592, 0.395]",00001-UVdNNRcVyV1,color,1,[]
"Which object has a darker color, the table or the chair?","['A. The table is darker', 'B. The chair is darker', 'C. Both have similar darkness', 'D. Both are bright']","Which object has a darker color, the table or the chair? A) The table is darker B) The chair is darker C) Both have similar darkness D) Both are bright. Answer:","table (43): [-7.17, 2.229, 0.633]; chair (44): [-7.387, 1.688, 0.515]",00001-UVdNNRcVyV1,color,1,A
Do the two doors have more similar colors than the bed?,"['A. Yes, the doors are more similar', 'B. No, the bed is more similar in color', 'C. All three have different colors', 'D. The beds have the same color']","Do the two doors have more similar colors than the bed? A) Yes, the doors are more similar B) No, the bed is more similar in color C) All three have different colors D) The beds have the same color. Answer:","door (32): [-3.07, -2.63, 1.145]; door (19): [-15.273, -1.123, 1.002]; bed (12): [-10.231, -2.697, 0.51]",00001-UVdNNRcVyV1,color,1,[]
Which object has a lighter color: the chair or the radiator?,"['A. chair', 'B. radiator', 'C. both have the same color tone', 'D. neither is lighter']",Which object has a lighter color: the chair or the radiator? A) chair B) radiator C) both have the same color tone D) neither is lighter. Answer:,"chair (44): [-7.387, 1.688, 0.515]; radiator (35): [-15.773, 11.401, 0.443]",00001-UVdNNRcVyV1,color,1,A
Is the color of the curtain darker than that of the table?,"['A. curtain is darker', 'B. table is darker', 'C. both have similar color tones', 'D. neither is darker']",Is the color of the curtain darker than that of the table? A) curtain is darker B) table is darker C) both have similar color tones D) neither is darker. Answer:,"curtain (33): [-14.969, 11.336, 1.274]; table (40): [-10.249, -4.777, 0.541]",00001-UVdNNRcVyV1,color,1,A
Do these two beds have similar color tones?,"['A. yes, similar', 'B. no, one is darker', 'C. no, one is lighter', 'D. both are very brightly colored']","Do these two beds have similar color tones? A) yes, similar B) no, one is darker C) no, one is lighter D) both are very brightly colored. Answer:","bed (13): [-4.088, -4.228, 0.46]; bed (6): [-16.597, 9.884, 0.67]",00001-UVdNNRcVyV1,color,1,A
Which object is more saturated in color: the bathtub or the curtain?,"['A. bathtub is more saturated', 'B. curtain is more saturated', 'C. neither is saturated', 'D. both have vibrant colors']",Which object is more saturated in color: the bathtub or the curtain? A) bathtub is more saturated B) curtain is more saturated C) neither is saturated D) both have vibrant colors. Answer:,"bathtub (49): [-4.214, 1.592, 0.395]; curtain (34): [-13.813, 9.624, 1.257]",00001-UVdNNRcVyV1,color,1,[]
