question,choices,question_formatted,answer,locations,scene_id,label,floor_id
In which rooms is the chair located?,"['[3, 4]', '[2]', '[1, 8]', '[1, 3, 4']","In which rooms is the chair located? A) [3, 4] B) [2] C) [1, 8] D) [1, 3, 4. Answer:",D,"[chair: [3.797, -0.048, -2.113], 3; chair: [3.172, 4.14, -2.379], 4; chair: [0.097, 2.106, -2.041], 1]",00000-kfPV7w3FaU5,location,-1
In which room are the sofa and the table located?,"['[1]', '[3]', '[4]', '[2, 3']","In which room are the sofa and the table located? A) [1] B) [3] C) [4] D) [2, 3. Answer:",C,"[sofa: [3.876, 3.434, -2.103], 4; table: [6.128, 2.89, -1.949], 4]",00000-kfPV7w3FaU5,location,-1
In which rooms is the chair located?,"['[1]', '[1, 4]', '[1, 2]', '[1, 3]]']","In which rooms is the chair located? A) [1] B) [1, 4] C) [1, 2] D) [1, 3]]. Answer:",A,"[chair: [-0.435, 3.218, 0.564], 1]",00000-kfPV7w3FaU5,location,1
In which room are the bed and the door located?,"['[1, 2]', '[1]', '[1, 4]', '[1, 3]]']","In which room are the bed and the door located? A) [1, 2] B) [1] C) [1, 4] D) [1, 3]]. Answer:",B,"[bed: [5.93, 3.216, 0.422], 1; door: [5.889, -1.335, 1.016], 1; bed: [1.544, 3.79, 0.653], 1; door: [3.633, 1.336, 1.036], 1; door: [3.626, -1.308, 1.032], 1; door: [5.862, -0.908, 1.022], 1]",00000-kfPV7w3FaU5,location,1
In which rooms is the chair located?,"['[1]', '[3]', '[1, 2]', '[1, 4]]']","In which rooms is the chair located? A) [1] B) [3] C) [1, 2] D) [1, 4]]. Answer:",D,"[chair: [-7.427, 1.652, 0.557], 1; chair: [-9.173, 0.67, 0.501], 1; chair: [-7.421, 1.628, 0.91], 1; chair: [-7.387, 1.688, 0.515], 1]",00001-UVdNNRcVyV1,location,1
In which room are the chair and the table located?,"['[1]', '[3]', '[1, 2]', '[1, 4]]']","In which room are the chair and the table located? A) [1] B) [3] C) [1, 2] D) [1, 4]]. Answer:",C,"[chair: [-7.427, 1.652, 0.557], 1; chair: [-9.173, 0.67, 0.501], 1; table: [-7.503, 2.644, 0.641], 1; table: [-10.249, -4.777, 0.541], 1; table: [-10.966, 2.194, 0.27], 1; table: [-7.17, 2.229, 0.633], 1; table: [-7.503, 2.644, 0.641], 1]",00001-UVdNNRcVyV1,location,1
In which rooms is the chair located?,"['[1]', '[3, 4]', '[1, 2]', '[1, 3]]']","In which rooms is the chair located? A) [1] B) [3, 4] C) [1, 2] D) [1, 3]]. Answer:",D,"[chair: [-7.427, 1.652, 0.557], 1; chair: [-7.387, 1.688, 0.515], 1; chair: [-7.421, 1.628, 0.91], 1; chair: [-9.173, 0.67, 0.501], 1]",00001-UVdNNRcVyV1,location,1
In which room are the table and the chair located?,"['[1]', '[3]', '[1, 2]', '[1, 4]]']","In which room are the table and the chair located? A) [1] B) [3] C) [1, 2] D) [1, 4]]. Answer:",A,"[table: [-10.966, 2.194, 0.27], 1; table: [-7.17, 2.229, 0.633], 1; table: [-7.503, 2.644, 0.641], 1; chair: [-7.427, 1.652, 0.557], 1; chair: [-7.387, 1.688, 0.515], 1; chair: [-7.421, 1.628, 0.91], 1; chair: [-9.173, 0.67, 0.501], 1]",00001-UVdNNRcVyV1,location,1
In which rooms is the chair located?,"['[1]', '[41]', '[44]', '[45]]']",In which rooms is the chair located? A) [1] B) [41] C) [44] D) [45]]. Answer:,D,"[chair: [-7.421, 1.628, 0.91], 1; chair: [-7.427, 1.652, 0.557], 1; chair: [-7.387, 1.688, 0.515], 1]",00001-UVdNNRcVyV1,location,1
In which room are the table and the chair located?,"['[1]', '[2, 40]', '[41]', '[43]]']","In which room are the table and the chair located? A) [1] B) [2, 40] C) [41] D) [43]]. Answer:",C,"[table: [-7.503, 2.644, 0.641], 1; chair: [-7.427, 1.652, 0.557], 1]",00001-UVdNNRcVyV1,location,1
In which rooms is the chair located?,"['[1]', '[7]', '[9]', '[5]]']",In which rooms is the chair located? A) [1] B) [7] C) [9] D) [5]]. Answer:,A,"[chair: [-7.427, 1.652, 0.557], 1; chair: [-7.387, 1.688, 0.515], 1; chair: [-9.173, 0.67, 0.501], 1; chair: [-7.421, 1.628, 0.91], 1]",00001-UVdNNRcVyV1,location,1
In which room are the table and the chair located?,"['[1]', '[3]', '[5]', '[7]]']",In which room are the table and the chair located? A) [1] B) [3] C) [5] D) [7]]. Answer:,A,"[table: [-10.249, -4.777, 0.541], 1; table: [-10.966, 2.194, 0.27], 1; chair: [-7.427, 1.652, 0.557], 1; chair: [-7.387, 1.688, 0.515], 1; chair: [-9.173, 0.67, 0.501], 1; chair: [-7.421, 1.628, 0.91], 1]",00001-UVdNNRcVyV1,location,1
In which rooms is the chair located?,"['[1]', '[3]', '[1, 2]', '[1, 4]]']","In which rooms is the chair located? A) [1] B) [3] C) [1, 2] D) [1, 4]]. Answer:",D,"[chair: [-7.387, 1.688, 0.515], 1; chair: [-9.173, 0.67, 0.501], 1; chair: [-7.421, 1.628, 0.91], 1; chair: [-7.427, 1.652, 0.557], 1]",00001-UVdNNRcVyV1,location,1
In which room are the table and the chair located?,"['[1]', '[3]', '[1, 2]', '[1, 4]]']","In which room are the table and the chair located? A) [1] B) [3] C) [1, 2] D) [1, 4]]. Answer:",A,"[table: [-10.249, -4.777, 0.541], 1; chair: [-7.387, 1.688, 0.515], 1]",00001-UVdNNRcVyV1,location,1
