question,choices,question_formatted,answer,locations,scene_id,label,floor_id
What is the distance between the sofa and the table?,"['0–1m', '1–2m', '2–3m', '3–4m']",What is the distance between the sofa and the table? A) 0–1m B) 1–2m C) 2–3m D) 3–4m. Answer:,B,"sofa (5): [1.316, 1.798, -2.252]; table (13): [6.128, 2.89, -1.949]",00000-kfPV7w3FaU5,distance,-1
Which chair (the one positioned closer to the table or the one positioned closer to the door) is closest to the table?,"['Chair (object_id 8)', 'Chair (object_id 9)', 'Both are equidistant to the table', 'Neither chair is close to the table']",Which chair (the one positioned closer to the table or the one positioned closer to the door) is closest to the table? A) Chair (object_id 8) B) Chair (object_id 9) C) Both are equidistant to the table D) Neither chair is close to the table. Answer:,A,"chair (8): [0.097, 2.106, -2.041]; chair (9): [3.797, -0.048, -2.113]; table (13): [6.128, 2.89, -1.949]",00000-kfPV7w3FaU5,distance,-1
"Is the kettle above, below, or on top of the radiator?","['Above', 'Below', 'On top', 'Level with']","Is the kettle above, below, or on top of the radiator? A) Above B) Below C) On top D) Level with. Answer:",A,"kettle (17): [7.402, 1.075, -1.576]; radiator (14): [6.561, 1.542, -2.142]",00000-kfPV7w3FaU5,distance,-1
What is the distance between the chair and the table?,"['0–1m', '1–2m', '2–3m', '3–4m']",What is the distance between the chair and the table? A) 0–1m B) 1–2m C) 2–3m D) 3–4m. Answer:,C,"chair (28): [-0.435, 3.218, 0.564]; table (29): [6.94, 1.305, 0.42]",00000-kfPV7w3FaU5,distance,1
Which object (a or b) is closest to the bed?,"['chair', 'table', 'door', 'radiator']",Which object (a or b) is closest to the bed? A) chair B) table C) door D) radiator. Answer:,A,"bed (27): [5.93, 3.216, 0.422]; chair (28): [-0.435, 3.218, 0.564]; table (29): [6.94, 1.305, 0.42]",00000-kfPV7w3FaU5,distance,1
"Is the door above, below, or on top of the bed?","['Above', 'Below', 'On top', 'Not related']","Is the door above, below, or on top of the bed? A) Above B) Below C) On top D) Not related. Answer:",B,"door (22): [3.626, -1.308, 1.032]; bed (27): [5.93, 3.216, 0.422]",00000-kfPV7w3FaU5,distance,1
What is the distance between the laundry machine and the toilet?,"['2–3m', '3–4m', '4–5m', '5–6m']",What is the distance between the laundry machine and the toilet? A) 2–3m B) 3–4m C) 4–5m D) 5–6m. Answer:,B,"laundry machine (36): [-17.28, 1.122, 0.415]; toilet (48): [-3.721, 3.755, 0.272]",00001-UVdNNRcVyV1,distance,1
Which object (chair or bed) is closest to the table?,"['chair', 'bed', 'both are equidistant', 'neither are near the table']",Which object (chair or bed) is closest to the table? A) chair B) bed C) both are equidistant D) neither are near the table. Answer:,A,"chair (47): [-9.173, 0.67, 0.501]; bed (6): [-16.597, 9.884, 0.67]; table (42): [-10.966, 2.194, 0.27]",00001-UVdNNRcVyV1,distance,1
"Is the chair above, below, or on top of the bed?","['above', 'below', 'on top', 'none']","Is the chair above, below, or on top of the bed? A) above B) below C) on top D) none. Answer:",B,"chair (46): [-7.427, 1.652, 0.557]; bed (11): [-10.249, -4.777, 0.541]",00001-UVdNNRcVyV1,distance,1
What is the distance between the bathtub and the radiator?,"['0–1m', '1–2m', '2–3m', '3–4m']",What is the distance between the bathtub and the radiator? A) 0–1m B) 1–2m C) 2–3m D) 3–4m. Answer:,B,"bathtub (49): [-4.214, 1.592, 0.395]; radiator (35): [-15.773, 11.401, 0.443]",00001-UVdNNRcVyV1,distance,1
Which object (the chair or the table) is closest to the window?,"['Chair', 'Table', 'Both are equidistant', 'Neither are close']",Which object (the chair or the table) is closest to the window? A) Chair B) Table C) Both are equidistant D) Neither are close. Answer:,A,"chair (45): [-7.421, 1.628, 0.91]; table (41): [-7.503, 2.644, 0.641]; window (1): [-15.696, 12.114, 1.418]",00001-UVdNNRcVyV1,distance,1
"Is the curtain above, below, or on top of the bed?","['Above', 'Below', 'On top', 'None of the above']","Is the curtain above, below, or on top of the bed? A) Above B) Below C) On top D) None of the above. Answer:",A,"curtain (34): [-13.813, 9.624, 1.257]; bed (6): [-16.597, 9.884, 0.67]",00001-UVdNNRcVyV1,distance,1
What is the distance between the chair and the table?,"['0–1m', '1–2m', '2–3m', '3–4m']",What is the distance between the chair and the table? A) 0–1m B) 1–2m C) 2–3m D) 3–4m. Answer:,B,"chair (44): [-7.387, 1.688, 0.515]; table (43): [-7.17, 2.229, 0.633]",00001-UVdNNRcVyV1,distance,1
Which object (chair or radiator) is closest to the bed?,"['chair', 'radiator', 'both are equally close', 'neither is close']",Which object (chair or radiator) is closest to the bed? A) chair B) radiator C) both are equally close D) neither is close. Answer:,A,"chair (44): [-7.387, 1.688, 0.515]; radiator (35): [-15.773, 11.401, 0.443]; bed (14): [-4.362, -4.301, 0.649]",00001-UVdNNRcVyV1,distance,1
"Is the bed above, below, or on top of the chair?","['above', 'below', 'on top', 'not related']","Is the bed above, below, or on top of the chair? A) above B) below C) on top D) not related. Answer:",B,"bed (12): [-10.231, -2.697, 0.51]; chair (44): [-7.387, 1.688, 0.515]",00001-UVdNNRcVyV1,distance,1
What is the distance between the chair and the table?,"['0–1m', '1–2m', '2–3m', '3–4m']",What is the distance between the chair and the table? A) 0–1m B) 1–2m C) 2–3m D) 3–4m. Answer:,B,"chair (46): [-7.427, 1.652, 0.557]; table (41): [-7.503, 2.644, 0.641]",00001-UVdNNRcVyV1,distance,1
