question,choices,question_formatted,answer,locations,scene_id,label,floor_id
"Which is taller, the chair or the radiator?","['Chair', 'Radiator', 'They are the same height', 'Not enough information']","Which is taller, the chair or the radiator? A) Chair B) Radiator C) They are the same height D) Not enough information. Answer:",B,"chair (9): [3.797, -0.048, -2.113]; radiator (14): [6.561, 1.542, -2.142]",00000-kfPV7w3FaU5,attribute,-1
"Which object has a larger overall volume, the sofa or the table?","['Sofa', 'Table', 'They have the same volume', 'Not enough information']","Which object has a larger overall volume, the sofa or the table? A) Sofa B) Table C) They have the same volume D) Not enough information. Answer:",A,"sofa (4): [2.088, 1.6, -2.114]; table (13): [6.128, 2.89, -1.949]",00000-kfPV7w3FaU5,attribute,-1
"Which has a greater height, the door or the chair?","['Door', 'Chair', 'They are the same height', 'Not enough information']","Which has a greater height, the door or the chair? A) Door B) Chair C) They are the same height D) Not enough information. Answer:",A,"door (0): [4.03, 1.497, -1.591]; chair (9): [3.797, -0.048, -2.113]",00000-kfPV7w3FaU5,attribute,-1
"Which door is taller, the door located at coordinates [5.862, -0.908, 1.022] or the door located at coordinates [5.889, -1.335, 1.016]?","['The door at [5.862, -0.908, 1.022]', 'The door at [5.889, -1.335, 1.016]', 'Both are the same height', 'It cannot be determined.']","Which door is taller, the door located at coordinates [5.862, -0.908, 1.022] or the door located at coordinates [5.889, -1.335, 1.016]? A) The door at [5.862, -0.908, 1.022] B) The door at [5.889, -1.335, 1.016] C) Both are the same height D) It cannot be determined.. Answer:",A,"door (21): [5.862, -0.908, 1.022]; door (23): [5.889, -1.335, 1.016];",00000-kfPV7w3FaU5,attribute,1
"Which bed has a greater overall volume, the bed at coordinates [5.881, 3.732, 0.698] or the bed at coordinates [1.544, 3.79, 0.653]?","['The bed at [5.881, 3.732, 0.698]', 'The bed at [1.544, 3.79, 0.653]', 'Both have the same volume', 'It cannot be determined.']","Which bed has a greater overall volume, the bed at coordinates [5.881, 3.732, 0.698] or the bed at coordinates [1.544, 3.79, 0.653]? A) The bed at [5.881, 3.732, 0.698] B) The bed at [1.544, 3.79, 0.653] C) Both have the same volume D) It cannot be determined.. Answer:",A,"bed (26): [5.881, 3.732, 0.698]; bed (25): [1.544, 3.79, 0.653];",00000-kfPV7w3FaU5,attribute,1
"Which door has a larger height, the door at coordinates [3.633, 1.336, 1.036] or the door at coordinates [3.626, -1.308, 1.032]?","['The door at [3.633, 1.336, 1.036]', 'The door at [3.626, -1.308, 1.032]', 'Both have the same height', 'It cannot be determined.']","Which door has a larger height, the door at coordinates [3.633, 1.336, 1.036] or the door at coordinates [3.626, -1.308, 1.032]? A) The door at [3.633, 1.336, 1.036] B) The door at [3.626, -1.308, 1.032] C) Both have the same height D) It cannot be determined.. Answer:",A,"door (19): [3.633, 1.336, 1.036]; door (22): [3.626, -1.308, 1.032];",00000-kfPV7w3FaU5,attribute,1
Is the height of the chair taller than the height of the bed?,"['Yes', 'No', 'The same', 'Cannot determine']",Is the height of the chair taller than the height of the bed? A) Yes B) No C) The same D) Cannot determine. Answer:,B,"chair (47): [-9.173, 0.67, 0.501]; bed (10): [-9.565, -2.9, 0.565]",00001-UVdNNRcVyV1,attribute,1
Which object has a greater overall volume - the table or the chair?,"['Table', 'Chair', 'Both have the same volume', 'Cannot determine']",Which object has a greater overall volume - the table or the chair? A) Table B) Chair C) Both have the same volume D) Cannot determine. Answer:,A,"table (41): [-7.503, 2.644, 0.641]; chair (46): [-7.427, 1.652, 0.557]",00001-UVdNNRcVyV1,attribute,1
Is the overall volume of the bathtub larger than the overall volume of the laundry machine?,"['Yes', 'No', 'The same', 'Cannot determine']",Is the overall volume of the bathtub larger than the overall volume of the laundry machine? A) Yes B) No C) The same D) Cannot determine. Answer:,A,"bathtub (49): [-4.214, 1.592, 0.395]; laundry machine (36): [-17.28, 1.122, 0.415]",00001-UVdNNRcVyV1,attribute,1
"Which has a greater height, the chair or the laundry machine?","['Chair', 'Laundry Machine', 'They are the same height', 'None of the above']","Which has a greater height, the chair or the laundry machine? A) Chair B) Laundry Machine C) They are the same height D) None of the above. Answer:",A,"chair (46): [-7.427, 1.652, 0.557]; laundry machine (36): [-17.28, 1.122, 0.415]",00001-UVdNNRcVyV1,attribute,1
