question,choices,question_formatted,answer,scene_id,label,locations,floor_id
Are there the cushions on the purple sofa facing the doorway in the living room?,"['Yes, there are cushions on the purple sofa facing the doorway in the living room', 'No, there aren’t any cushions on the purple sofa facing the doorway in the living room', 'There are cushions but not facing the doorway', 'There is no purple sofa in the living room.']","Are there the cushions on the purple sofa facing the doorway in the living room? A) Yes, there are cushions on the purple sofa facing the doorway in the living room B) No, there aren’t any cushions on the purple sofa facing the doorway in the living room C) There are cushions but not facing the doorway D) There is no purple sofa in the living room.. Answer:","A. Yes, there are cushions on the purple sofa facing the doorway in the living room;",00000-kfPV7w3FaU5,relationship,"sofa (4): [2.088, 1.6, -2.114]",-1
Is the coffee table in front of the purple sofa with yellow cushions in the living room?,"['Yes, the coffee table is in front of the purple sofa with yellow cushions', 'No, the coffee table is not in front of the purple sofa with yellow cushions', 'The coffee table is to the side of the purple sofa with yellow cushions', 'There is no purple sofa in the living room.']","Is the coffee table in front of the purple sofa with yellow cushions in the living room? A) Yes, the coffee table is in front of the purple sofa with yellow cushions B) No, the coffee table is not in front of the purple sofa with yellow cushions C) The coffee table is to the side of the purple sofa with yellow cushions D) There is no purple sofa in the living room.. Answer:","A. Yes, the coffee table is in front of the purple sofa with yellow cushions;",00000-kfPV7w3FaU5,relationship,"sofa (5): [1.316, 1.798, -2.252]",-1
Are there any rugs placed at the bottom of the stairs near the entrance door?  ,"['Yes, there is a rug at the bottom of the stairs near the entrance door', 'No, there isn’t a rug at the bottom of the stairs near the entrance door', 'I cannot tell if there is a rug from this image', 'There are two rugs at the bottom of the stairs near the entrance door.']","Are there any rugs placed at the bottom of the stairs near the entrance door?   A) Yes, there is a rug at the bottom of the stairs near the entrance door B) No, there isn’t a rug at the bottom of the stairs near the entrance door C) I cannot tell if there is a rug from this image D) There are two rugs at the bottom of the stairs near the entrance door.. Answer:","A. Yes, there is a rug at the bottom of the stairs near the entrance door;  ",00000-kfPV7w3FaU5,relationship,"stair (6): [2.274, -0.473, -1.828]",-1
Is there a chair positioned next to the small table in the corner of the room?,"['Yes, there is a chair next to the small table in the corner of the room', 'No, there isn’t a chair next to the small table in the corner of the room', ""Not sure if there's a chair by the table"", 'The table is in the middle of the room.']","Is there a chair positioned next to the small table in the corner of the room? A) Yes, there is a chair next to the small table in the corner of the room B) No, there isn’t a chair next to the small table in the corner of the room C) Not sure if there's a chair by the table D) The table is in the middle of the room.. Answer:","A. Yes, there is a chair next to the small table in the corner of the room;",00000-kfPV7w3FaU5,relationship,"chair (7): [3.172, 4.14, -2.379]",-1
Is there a vase on the wooden table in the dining area near the chairs?,"['Yes, there is a vase on the wooden table in the dining area near the chairs', 'No, there isn’t a vase on the wooden table in the dining area near the chairs', 'The table is bare without any vase', 'There is no wooden table in the dining area.']","Is there a vase on the wooden table in the dining area near the chairs? A) Yes, there is a vase on the wooden table in the dining area near the chairs B) No, there isn’t a vase on the wooden table in the dining area near the chairs C) The table is bare without any vase D) There is no wooden table in the dining area.. Answer:","A. Yes, there is a vase on the wooden table in the dining area near the chairs;",00000-kfPV7w3FaU5,relationship,"table (12): [5.114, 4.158, -2.375]",-1
Is there a radiator positioned below the window next to the wooden dining table in the room?,"['Yes, there is a radiator below the window next to the wooden dining table', 'No, the radiator is not below the window next to the wooden dining table', 'There is no window in the room', 'The wooden dining table is not present in the room.']","Is there a radiator positioned below the window next to the wooden dining table in the room? A) Yes, there is a radiator below the window next to the wooden dining table B) No, the radiator is not below the window next to the wooden dining table C) There is no window in the room D) The wooden dining table is not present in the room.. Answer:","A. Yes, there is a radiator below the window next to the wooden dining table;",00000-kfPV7w3FaU5,relationship,"radiator (14): [6.561, 1.542, -2.142]",-1
Is there a refrigerator located next to the beige kitchen table in the kitchen area?,"['Yes, the refrigerator is next to the beige kitchen table in the kitchen area', 'No, the refrigerator is not next to the beige kitchen table in the kitchen area', 'The beige kitchen table is not present in the kitchen', 'There is no refrigerator in the kitchen area.']","Is there a refrigerator located next to the beige kitchen table in the kitchen area? A) Yes, the refrigerator is next to the beige kitchen table in the kitchen area B) No, the refrigerator is not next to the beige kitchen table in the kitchen area C) The beige kitchen table is not present in the kitchen D) There is no refrigerator in the kitchen area.. Answer:","A. Yes, the refrigerator is next to the beige kitchen table in the kitchen area;",00000-kfPV7w3FaU5,relationship,"appliance (16): [7.402, 1.075, -1.576]",-1
Is there a window visible in the room where the wooden bed stands with its foot facing the door?,"['Yes, there is a window next to the bed', 'No, there is no window in the room', ""Not sure if there's a window in the room"", 'The bed is against the wall with no window nearby.']","Is there a window visible in the room where the wooden bed stands with its foot facing the door? A) Yes, there is a window next to the bed B) No, there is no window in the room C) Not sure if there's a window in the room D) The bed is against the wall with no window nearby.. Answer:","A. Yes, there is a window next to the bed;",00000-kfPV7w3FaU5,relationship,"bed (24): [1.732, 2.181, 0.353]",1
Are there any books on the bedside table next to the bed in the bedroom?,"['Yes, there are books on the bedside table next to the bed in the bedroom', 'No, there are no books on the bedside table next to the bed in the bedroom', ""I'm not sure if there are books on the bedside table"", 'The bedside table is not next to the bed in the bedroom.']","Are there any books on the bedside table next to the bed in the bedroom? A) Yes, there are books on the bedside table next to the bed in the bedroom B) No, there are no books on the bedside table next to the bed in the bedroom C) I'm not sure if there are books on the bedside table D) The bedside table is not next to the bed in the bedroom.. Answer:","A. Yes, there are books on the bedside table next to the bed in the bedroom;",00000-kfPV7w3FaU5,relationship,"bed (25): [1.544, 3.79, 0.653]",1
Is there a bedside table next to the bed in the bedroom with floral wallpaper?,"['Yes, there is a bedside table next to the bed in the bedroom with floral wallpaper', ""No, there isn't a bedside table next to the bed in the bedroom with floral wallpaper"", ""It's unclear if there's a bedside table next to the bed"", 'The bed is the only furniture in the bedroom.']","Is there a bedside table next to the bed in the bedroom with floral wallpaper? A) Yes, there is a bedside table next to the bed in the bedroom with floral wallpaper B) No, there isn't a bedside table next to the bed in the bedroom with floral wallpaper C) It's unclear if there's a bedside table next to the bed D) The bed is the only furniture in the bedroom.. Answer:","A. Yes, there is a bedside table next to the bed in the bedroom with floral wallpaper;",00000-kfPV7w3FaU5,relationship,"bed (26): [5.881, 3.732, 0.698]",1
Is there a bedside table next to the white bed with a blanket in the cozy bedroom?,"['Yes, there is a bedside table next to the white bed with a blanket in the cozy bedroom', ""No, there isn't a bedside table next to the white bed with a blanket in the cozy bedroom"", 'There is a dresser next to the bed', 'There is a lamp on the floor near the bed.']","Is there a bedside table next to the white bed with a blanket in the cozy bedroom? A) Yes, there is a bedside table next to the white bed with a blanket in the cozy bedroom B) No, there isn't a bedside table next to the white bed with a blanket in the cozy bedroom C) There is a dresser next to the bed D) There is a lamp on the floor near the bed.. Answer:","A. Yes, there is a bedside table next to the white bed with a blanket in the cozy bedroom;",00000-kfPV7w3FaU5,relationship,"bed (27): [5.93, 3.216, 0.422]",1
Are there any decorative items on the white table in the corner of the room near the door?,"['Yes, there are decorative items on the white table', 'No, there aren’t any decorative items on the white table', 'It’s hard to tell if there are items on the table', 'The white table is not in the corner of the room.']","Are there any decorative items on the white table in the corner of the room near the door? A) Yes, there are decorative items on the white table B) No, there aren’t any decorative items on the white table C) It’s hard to tell if there are items on the table D) The white table is not in the corner of the room.. Answer:","A. Yes, there are decorative items on the white table;",00000-kfPV7w3FaU5,relationship,"table (29): [6.94, 1.305, 0.42]",1
