question,choices,question_formatted,answer,scene_id,label,locations,floor_id
How many cushions are placed on the sofa that is positioned in front of the door?,"['three', 'five', 'two', 'four']",How many cushions are placed on the sofa that is positioned in front of the door? A) three B) five C) two D) four. Answer:,D,00000-kfPV7w3FaU5,attribute_speicial,"sofa (4): [2.088, 1.6, -2.114]",-1
What color is the upholstery of the sofa located near the light-colored floor?,"['green', 'blue', 'purple', 'red']",What color is the upholstery of the sofa located near the light-colored floor? A) green B) blue C) purple D) red. Answer:,C,00000-kfPV7w3FaU5,attribute_speicial,"sofa (4): [2.088, 1.6, -2.114]",-1
Which design style best describes the sofa that has multi-patterned cushions and is situated among wooden flooring?,"['minimalist', 'traditional', 'industrial', 'modern']",Which design style best describes the sofa that has multi-patterned cushions and is situated among wooden flooring? A) minimalist B) traditional C) industrial D) modern. Answer:,B,00000-kfPV7w3FaU5,attribute_speicial,"sofa (4): [2.088, 1.6, -2.114]",-1
What material appears to be used for the cushions on the sofa near the entrance?,"['leather', 'cotton', 'velvet', 'polyester']",What material appears to be used for the cushions on the sofa near the entrance? A) leather B) cotton C) velvet D) polyester. Answer:,B,00000-kfPV7w3FaU5,attribute_speicial,"sofa (4): [2.088, 1.6, -2.114]",-1
How many cushions are there on the purple sofa situated next to the window?,"['Two', 'Four', 'Three', 'Five']",How many cushions are there on the purple sofa situated next to the window? A) Two B) Four C) Three D) Five. Answer:,C. Three,00000-kfPV7w3FaU5,attribute_speicial,"sofa (5): [1.316, 1.798, -2.252]",-1
What is the main color of the fabric on the sofa located near the brown cabinet?,"['Blue', 'Purple', 'Green', 'Yellow']",What is the main color of the fabric on the sofa located near the brown cabinet? A) Blue B) Purple C) Green D) Yellow. Answer:,B. Purple,00000-kfPV7w3FaU5,attribute_speicial,"sofa (5): [1.316, 1.798, -2.252]",-1
What design style is the sofa adjacent to the wool rug most likely representing?,"['Modern', 'Traditional', 'Rustic', 'Minimalist']",What design style is the sofa adjacent to the wool rug most likely representing? A) Modern B) Traditional C) Rustic D) Minimalist. Answer:,B. Traditional,00000-kfPV7w3FaU5,attribute_speicial,"sofa (5): [1.316, 1.798, -2.252]",-1
What material is used for the railing on the staircase leading down to the entrance?,"['metal', 'plastic', 'wood', 'glass']",What material is used for the railing on the staircase leading down to the entrance? A) metal B) plastic C) wood D) glass. Answer:,C. wood,00000-kfPV7w3FaU5,attribute_speicial,"stair (6): [2.274, -0.473, -1.828]",-1
What design style is evident in the structure of the staircase adjacent to the entryway?,"['modern', 'rustic', 'traditional', 'minimalistic']",What design style is evident in the structure of the staircase adjacent to the entryway? A) modern B) rustic C) traditional D) minimalistic. Answer:,C. traditional,00000-kfPV7w3FaU5,attribute_speicial,"stair (6): [2.274, -0.473, -1.828]",-1
How many steps are visible on the staircase that descends into the hallway?,"['five', 'seven', 'six', 'eight']",How many steps are visible on the staircase that descends into the hallway? A) five B) seven C) six D) eight. Answer:,B. seven,00000-kfPV7w3FaU5,attribute_speicial,"stair (6): [2.274, -0.473, -1.828]",-1
What color is the carpet on the steps of the staircase?,"['blue', 'neutral tones', 'red', 'green']",What color is the carpet on the steps of the staircase? A) blue B) neutral tones C) red D) green. Answer:,B. neutral tones,00000-kfPV7w3FaU5,attribute_speicial,"stair (6): [2.274, -0.473, -1.828]",-1
What is the primary color of the couch situated in front of the rug and to the right of the bookshelf?,"['Blue', 'Green', 'Red', 'Purple']",What is the primary color of the couch situated in front of the rug and to the right of the bookshelf? A) Blue B) Green C) Red D) Purple. Answer:,D. Purple,00000-kfPV7w3FaU5,attribute_speicial,"chair (7): [3.172, 4.14, -2.379]",-1
