question,choices,question_formatted,answer,scene_id,label,locations,floor_id
What color is the fabric of the sofa located between the door and the lamp?,"['Green', 'Beige', 'Blue', 'Purple']",What color is the fabric of the sofa located between the door and the lamp? A) Green B) Beige C) Blue D) Purple. Answer:,D. Purple,00000-kfPV7w3FaU5,attribute_speicial,"sofa (4): [2.088, 1.6, -2.114]",-1
What design style characterizes the sofa positioned near the wall opposite the door?,"['Modern', 'Rustic', 'Art Deco', 'Vintage']",What design style characterizes the sofa positioned near the wall opposite the door? A) Modern B) Rustic C) Art Deco D) Vintage. Answer:,D. Vintage,00000-kfPV7w3FaU5,attribute_speicial,"sofa (4): [2.088, 1.6, -2.114]",-1
How many cushions are placed on the sofa adjacent to the small table?,"['One', 'Three', 'Four', 'Two']",How many cushions are placed on the sofa adjacent to the small table? A) One B) Three C) Four D) Two. Answer:,D. Two,00000-kfPV7w3FaU5,attribute_speicial,"sofa (4): [2.088, 1.6, -2.114]",-1
What color are the cushions on the sofa located next to the wooden flooring?,"['Blue', 'White', 'Brown', 'Yellow']",What color are the cushions on the sofa located next to the wooden flooring? A) Blue B) White C) Brown D) Yellow. Answer:,D. Yellow,00000-kfPV7w3FaU5,attribute_speicial,"sofa (5): [1.316, 1.798, -2.252]",-1
How many seats are visible on the sofa placed in the center of the room?,"['Two', 'Three', 'Four', 'Five']",How many seats are visible on the sofa placed in the center of the room? A) Two B) Three C) Four D) Five. Answer:,B. Three,00000-kfPV7w3FaU5,attribute_speicial,"sofa (5): [1.316, 1.798, -2.252]",-1
What is the design style of the sofa situated near the corner of the room?,"['Modern', 'Vintage', 'Minimalist', 'Rustic']",What is the design style of the sofa situated near the corner of the room? A) Modern B) Vintage C) Minimalist D) Rustic. Answer:,A. Modern,00000-kfPV7w3FaU5,attribute_speicial,"sofa (5): [1.316, 1.798, -2.252]",-1
What material appears to be used for the sofa upholstery adjacent to the patterned chairs?,"['Leather', 'Fabric', 'Velvet', 'Cotton']",What material appears to be used for the sofa upholstery adjacent to the patterned chairs? A) Leather B) Fabric C) Velvet D) Cotton. Answer:,B. Fabric,00000-kfPV7w3FaU5,attribute_speicial,"sofa (5): [1.316, 1.798, -2.252]",-1
What is the material of the railing along the stairs leading down from the upper landing?,"['wood', 'metal', 'plastic', 'glass']",What is the material of the railing along the stairs leading down from the upper landing? A) wood B) metal C) plastic D) glass. Answer:,wood,00000-kfPV7w3FaU5,attribute_speicial,"stair (6): [2.274, -0.473, -1.828]",-1
How many steps are visible on the stairway covered with a patterned carpet?,"['three', 'five', 'seven', 'four']",How many steps are visible on the stairway covered with a patterned carpet? A) three B) five C) seven D) four. Answer:,five,00000-kfPV7w3FaU5,attribute_speicial,"stair (6): [2.274, -0.473, -1.828]",-1
What design style characterizes the intricate details of the stair railing seen in the image?,"['modern', 'rustic', 'traditional', 'industrial']",What design style characterizes the intricate details of the stair railing seen in the image? A) modern B) rustic C) traditional D) industrial. Answer:,traditional,00000-kfPV7w3FaU5,attribute_speicial,"stair (6): [2.274, -0.473, -1.828]",-1
What color pattern is noticeable on the carpeting of the staircase?,"['solid dark', 'striped', 'floral', 'polka dot']",What color pattern is noticeable on the carpeting of the staircase? A) solid dark B) striped C) floral D) polka dot. Answer:,striped,00000-kfPV7w3FaU5,attribute_speicial,"stair (6): [2.274, -0.473, -1.828]",-1
