question,choices,question_formatted,answer,locations,scene_id,label,floor_id
How many doors are in region 1?,"['1', '2', '3', '0']",How many doors are in region 1? A) 1 B) 2 C) 3 D) 0. Answer:,A,"door (object_id 0): [4.03, 1.497, -1.591], region_id 1; door (object_id 1): [-0.633, 0.03, -1.616], region_id 1",00000-kfPV7w3FaU5,counting,-1
How many chairs are in region 2 and region 3?,"['1', '2', '3', '0']",How many chairs are in region 2 and region 3? A) 1 B) 2 C) 3 D) 0. Answer:,B,"chair (object_id 7): [3.172, 4.14, -2.379], region_id 2; chair (object_id 9): [3.797, -0.048, -2.113], region_id 3",00000-kfPV7w3FaU5,counting,-1
How many sofas are in the scene?,"['2', '3', '4', '5']",How many sofas are in the scene? A) 2 B) 3 C) 4 D) 5. Answer:,C,"sofa (object_id 4): [2.088, 1.6, -2.114], region_id -1; sofa (object_id 5): [1.316, 1.798, -2.252], region_id -1; sofa (object_id 3): [3.876, 3.434, -2.103], region_id -1",00000-kfPV7w3FaU5,counting,-1
How many tables and chairs are in region 3?,"['1', '2', '3', '0']",How many tables and chairs are in region 3? A) 1 B) 2 C) 3 D) 0. Answer:,A,"table (object_id 12): [5.114, 4.158, -2.375], region_id 3; chair (object_id 9): [3.797, -0.048, -2.113], region_id 3",00000-kfPV7w3FaU5,counting,-1
How many radiators are in region 1?,"['1', '2', '3', '0']",How many radiators are in region 1? A) 1 B) 2 C) 3 D) 0. Answer:,A,"radiator (30): [5.479, 0.401, 0.655], 1",00000-kfPV7w3FaU5,counting,1
How many doors are in region 1 and region 3?,"['4', '3', '2', '1']",How many doors are in region 1 and region 3? A) 4 B) 3 C) 2 D) 1. Answer:,A,"door (22): [3.626, -1.308, 1.032], 1; door (18): [0.802, 1.281, 1.062], 1; door (20): [5.789, 1.223, 1.055], 1; door (23): [5.889, -1.335, 1.016], 1; door (21): [5.862, -0.908, 1.022], 1; door (19): [3.633, 1.336, 1.036], 1",00000-kfPV7w3FaU5,counting,1
How many beds are in the scene?,"['3', '4', '5', '6']",How many beds are in the scene? A) 3 B) 4 C) 5 D) 6. Answer:,B,"bed (27): [5.93, 3.216, 0.422], 1; bed (25): [1.544, 3.79, 0.653], 1; bed (26): [5.881, 3.732, 0.698], 1; bed (24): [1.732, 2.181, 0.353], 1",00000-kfPV7w3FaU5,counting,1
How many doors and beds are in region 1?,"['5', '4', '3', '6']",How many doors and beds are in region 1? A) 5 B) 4 C) 3 D) 6. Answer:,A,"door (22): [3.626, -1.308, 1.032], 1; door (18): [0.802, 1.281, 1.062], 1; door (20): [5.789, 1.223, 1.055], 1; door (23): [5.889, -1.335, 1.016], 1; door (21): [5.862, -0.908, 1.022], 1; door (19): [3.633, 1.336, 1.036], 1; bed (27): [5.93, 3.216, 0.422], 1; bed (25): [1.544, 3.79, 0.653], 1; bed (26): [5.881, 3.732, 0.698], 1; bed (24): [1.732, 2.181, 0.353], 1",00000-kfPV7w3FaU5,counting,1
How many beds are in region 1?,"['2', '5', '3', '4']",How many beds are in region 1? A) 2 B) 5 C) 3 D) 4. Answer:,B,"bed (10): [-9.565, -2.9, 0.565], 1; bed (14): [-4.362, -4.301, 0.649], 1; bed (11): [-10.249, -4.777, 0.541], 1; bed (8): [-13.465, -3.207, 0.281], 1; bed (6): [-16.597, 9.884, 0.67], 1; bed (12): [-10.231, -2.697, 0.51], 1; bed (15): [-3.64, -4.795, 0.525], 1; bed (7): [-17.872, -2.469, 0.757], 1;",00001-UVdNNRcVyV1,counting,1
How many windows are in region 1 and region 1?,"['5', '4', '3', '6']",How many windows are in region 1 and region 1? A) 5 B) 4 C) 3 D) 6. Answer:,A,"window (5): [-10.884, 7.495, 1.3], 1; window (2): [-10.879, 7.501, 1.285], 1; window (4): [-10.252, -6.343, 2.404], 1; window (3): [-10.879, 7.498, 1.275], 1; window (1): [-15.696, 12.114, 1.418], 1; window (0): [-15.715, 12.11, 1.409], 1;",00001-UVdNNRcVyV1,counting,1
How many doors are in the scene?,"['19', '12', '15', '10']",How many doors are in the scene? A) 19 B) 12 C) 15 D) 10. Answer:,A,"door (28): [-9.17, -0.85, 1.021], 1; door (25): [-13.28, -1.253, 0.992], 1; door (18): [-16.904, -1.313, 1.144], 1; door (19): [-15.273, -1.123, 1.002], 1; door (20): [-17.068, -1.307, 1.131], 1; door (17): [-14.296, 10.451, 1.154], 1; door (16): [-17.112, 8.09, 1.141], 1; door (29): [-11.505, -1.678, 1.051], 1; door (21): [-14.287, 11.121, 1.129], 1; door (22): [-14.756, 7.965, 1.009], 1; door (24): [-15.635, 1.29, 1.143], 1; door (23): [-13.608, 5.858, 1.04], 1; door (30): [-9.089, -0.902, 1.144], 1; door (31): [-2.267, -1.23, 1.023], 1; door (32): [-3.07, -2.63, 1.145], 1; door (27): [-11.499, -1.711, 1.01], 1; door (26): [-11.498, -1.069, 1.142], 1; door (12): [-10.231, -2.697, 0.51], 1; door (15): [-3.64, -4.795, 0.525], 1;",00001-UVdNNRcVyV1,counting,1
How many chairs and tables are in region 1?,"['5 chairs and 3 tables', '4 chairs and 4 tables', '3 chairs and 3 tables', '5 chairs and 5 tables']",How many chairs and tables are in region 1? A) 5 chairs and 3 tables B) 4 chairs and 4 tables C) 3 chairs and 3 tables D) 5 chairs and 5 tables. Answer:,B,"chair (46): [-7.427, 1.652, 0.557], 1; chair (44): [-7.387, 1.688, 0.515], 1; chair (45): [-7.421, 1.628, 0.91], 1; chair (47): [-9.173, 0.67, 0.501], 1; table (42): [-10.966, 2.194, 0.27], 1; table (43): [-7.17, 2.229, 0.633], 1; table (40): [-10.249, -4.777, 0.541], 1; table (41): [-7.503, 2.644, 0.641], 1;",00001-UVdNNRcVyV1,counting,1
How many tables are in region 1?,"['2', '3', '1', '4']",How many tables are in region 1? A) 2 B) 3 C) 1 D) 4. Answer:,A,"table (41): [-7.503, 2.644, 0.641], 1; table (43): [-7.17, 2.229, 0.633], 1; table (42): [-10.966, 2.194, 0.27], 1",00001-UVdNNRcVyV1,counting,1
How many windows are in region 1 and region 1?,"['5', '6', '4', '3']",How many windows are in region 1 and region 1? A) 5 B) 6 C) 4 D) 3. Answer:,A,"window (2): [-10.879, 7.501, 1.285], 1; window (1): [-15.696, 12.114, 1.418], 1; window (5): [-10.884, 7.495, 1.3], 1; window (4): [-10.252, -6.343, 2.404], 1; window (3): [-10.879, 7.498, 1.275], 1",00001-UVdNNRcVyV1,counting,1
How many beds are in the scene?,"['10', '8', '9', '11']",How many beds are in the scene? A) 10 B) 8 C) 9 D) 11. Answer:,B,"bed (9): [-9.897, -4.525, 0.513], 1; bed (6): [-16.597, 9.884, 0.67], 1; bed (10): [-9.565, -2.9, 0.565], 1; bed (14): [-4.362, -4.301, 0.649], 1; bed (12): [-10.231, -2.697, 0.51], 1; bed (8): [-13.465, -3.207, 0.281], 1; bed (15): [-3.64, -4.795, 0.525], 1; bed (13): [-4.088, -4.228, 0.46], 1",00001-UVdNNRcVyV1,counting,1
How many chairs and tables are in region 1?,"['3 and 3', '4 and 2', '4 and 3', '2 and 2']",How many chairs and tables are in region 1? A) 3 and 3 B) 4 and 2 C) 4 and 3 D) 2 and 2. Answer:,C,"chair (44): [-7.387, 1.688, 0.515], 1; chair (45): [-7.421, 1.628, 0.91], 1; chair (46): [-7.427, 1.652, 0.557], 1; table (41): [-7.503, 2.644, 0.641], 1; table (43): [-7.17, 2.229, 0.633], 1; table (42): [-10.966, 2.194, 0.27], 1",00001-UVdNNRcVyV1,counting,1
