question,choices,question_formatted,answer,scene_id,label,locations,floor_id
"""In which area is the purple sofa positioned, facing the space with the light-colored floor tiles and rug?""","['Near a wooden table', 'Adjacent to the door', 'Close to other seating arrangements', 'By the wall with artwork']","""In which area is the purple sofa positioned, facing the space with the light-colored floor tiles and rug?"" A) Near a wooden table B) Adjacent to the door C) Close to other seating arrangements D) By the wall with artwork. Answer:",C,00000-kfPV7w3FaU5,location_speicial,"sofa (4): [2.088, 1.6, -2.114]",-1
"""Where is the purple sofa with yellow and patterned cushions situated in relation to the wooden side table?""","['Under the window', 'Next to the armchair', 'Across from the fireplace', 'Behind the bookshelf']","""Where is the purple sofa with yellow and patterned cushions situated in relation to the wooden side table?"" A) Under the window B) Next to the armchair C) Across from the fireplace D) Behind the bookshelf. Answer:",C,00000-kfPV7w3FaU5,location_speicial,"sofa (5): [1.316, 1.798, -2.252]",-1
"""Where is the striped carpet situated in relation to the white railing?""","['On the upper level, by the door', 'At the bottom of the staircase', 'To the left of the wall', 'Behind the decorative mirror']","""Where is the striped carpet situated in relation to the white railing?"" A) On the upper level, by the door B) At the bottom of the staircase C) To the left of the wall D) Behind the decorative mirror. Answer:",B,00000-kfPV7w3FaU5,location_speicial,"stair (6): [2.274, -0.473, -1.828]",-1
"""Where is the purple armchair, positioned between the two yellow-cushioned sofas and towards the back of the room near the wall?""","['Next to the large window', 'In front of the television', 'Against the wall', 'Near the entrance door']","""Where is the purple armchair, positioned between the two yellow-cushioned sofas and towards the back of the room near the wall?"" A) Next to the large window B) In front of the television C) Against the wall D) Near the entrance door. Answer:",C,00000-kfPV7w3FaU5,location_speicial,"chair (7): [3.172, 4.14, -2.379]",-1
"""Where is the colorful square stool with a yellow, red, blue, and green top located in relation to the nearby wooden table and the sofas?""","['Between the two sofas', 'Adjacent to a wall', 'On the floor next to a bookshelf', 'In front of the wooden table']","""Where is the colorful square stool with a yellow, red, blue, and green top located in relation to the nearby wooden table and the sofas?"" A) Between the two sofas B) Adjacent to a wall C) On the floor next to a bookshelf D) In front of the wooden table. Answer:",B. Adjacent to a wall,00000-kfPV7w3FaU5,location_speicial,"table (12): [5.114, 4.158, -2.375]",-1
"""In which area of the kitchen is the radiator situated, relative to the countertop and the gas stove?""","['Below the window', 'Behind the refrigerator', 'Next to the sink', 'Above the oven']","""In which area of the kitchen is the radiator situated, relative to the countertop and the gas stove?"" A) Below the window B) Behind the refrigerator C) Next to the sink D) Above the oven. Answer:",A. Below the window,00000-kfPV7w3FaU5,location_speicial,"radiator (14): [6.561, 1.542, -2.142]",-1
"""In which kitchen area is the stainless steel refrigerator positioned, adjacent to a wooden counter on its left side?""","['near a glass door', 'beside the sink', 'in front of a window', 'against a tiled wall']","""In which kitchen area is the stainless steel refrigerator positioned, adjacent to a wooden counter on its left side?"" A) near a glass door B) beside the sink C) in front of a window D) against a tiled wall. Answer:",B. beside the sink,00000-kfPV7w3FaU5,location_speicial,"appliance (16): [7.402, 1.075, -1.576]",-1
"""In which direction is the bed located in relation to the open door seen in the image?""","['to the left of the furniture', 'behind the curtains', 'next to a large wardrobe', 'in front of a wall with decor']","""In which direction is the bed located in relation to the open door seen in the image?"" A) to the left of the furniture B) behind the curtains C) next to a large wardrobe D) in front of a wall with decor. Answer:",A,00000-kfPV7w3FaU5,location_speicial,"bed (24): [1.732, 2.181, 0.353]",1
"""In which area is the wooden bedframe positioned close to the striped wallpaper and the bedside table?""","['near the window', 'next to a couch', 'beside the door', 'along the wall']","""In which area is the wooden bedframe positioned close to the striped wallpaper and the bedside table?"" A) near the window B) next to a couch C) beside the door D) along the wall. Answer:",D,00000-kfPV7w3FaU5,location_speicial,"bed (25): [1.544, 3.79, 0.653]",1
"""In which room is the bed located that has a white comforter and is positioned near a cream-colored cabinet with ornate detailing?""","['a room with a large window covered by dark curtains', 'a room filled with natural light and vibrant colors', 'a modern room with minimalistic decor', 'a room with rustic elements and wooden furniture.']","""In which room is the bed located that has a white comforter and is positioned near a cream-colored cabinet with ornate detailing?"" A) a room with a large window covered by dark curtains B) a room filled with natural light and vibrant colors C) a modern room with minimalistic decor D) a room with rustic elements and wooden furniture.. Answer:",A,00000-kfPV7w3FaU5,location_speicial,"bed (26): [5.881, 3.732, 0.698]",1
"""In which room is the wooden bed frame located with a patterned wallpaper backdrop, right next to a window providing natural light?""","['Kitchen', 'Living Room', 'Bedroom', 'Dining Room']","""In which room is the wooden bed frame located with a patterned wallpaper backdrop, right next to a window providing natural light?"" A) Kitchen B) Living Room C) Bedroom D) Dining Room. Answer:",C,00000-kfPV7w3FaU5,location_speicial,"bed (27): [5.93, 3.216, 0.422]",1
"""Where is the white dressing table positioned relative to the door leading to another room?""","['Next to a large window', 'Against a wall opposite a chair', 'In front of a bed', 'Nearby a colorful rug.']","""Where is the white dressing table positioned relative to the door leading to another room?"" A) Next to a large window B) Against a wall opposite a chair C) In front of a bed D) Nearby a colorful rug.. Answer:",B,00000-kfPV7w3FaU5,location_speicial,"table (29): [6.94, 1.305, 0.42]",1
